position,number,driver,constructor,Q1,Q2,Q3
1,5,Fernando Alonso,Renault,1:11.988,,
2,10,Juan Pablo Montoya,McLaren,1:12.145,,
3,6,Giancarlo Fisichella,Renault,1:12.558,,
4,3,Jenson Button,BAR,1:12.696,,
5,9,Kimi Räikkönen,McLaren,1:12.781,,
6,15,Christian Klien,Red Bull,1:12.889,,
7,1,Michael Schumacher,Ferrari,1:12.976,,
8,16,Jarno Trulli,Toyota,1:13.041,,
9,12,Felipe Massa,Sauber,1:13.151,,
10,2,Rubens Barrichello,Ferrari,1:13.183,,
11,17,Ralf Schumacher,Toyota,1:13.285,,
12,11,Jacques Villeneuve,Sauber,1:13.372,,
13,18,Tiago Monteiro,Jordan,1:13.387,,
14,7,Mark Webber,Williams,1:13.538,,
15,8,Antônio Pizzonia,Williams,1:13.581,,
16,14,David Coulthard,Red Bull,1:13.844,,
17,19,Narain Karthikeyan,Jordan,1:14.520,,
18,21,Christijan Albers,Minardi,1:14.763,,
19,4,Takuma Sato,BAR,,,
20,20,Robert Doornbos,Minardi,,,
