position,number,driver,constructor,Q1,Q2,Q3
1,6,Felipe Massa,Ferrari,1:30.112,1:29.830,1:29.599
2,5,Michael Schumacher,Ferrari,1:31.279,1:28.954,1:29.711
3,7,Ralf Schumacher,Toyota,1:30.595,1:30.299,1:29.989
4,8,Jarno Trulli,Toyota,1:30.420,1:30.204,1:30.039
5,1,Fernando Alonso,Renault,1:30.976,1:30.357,1:30.371
6,2,Giancarlo Fisichella,Renault,1:31.696,1:30.306,1:30.599
7,12,Jenson Button,Honda,1:30.847,1:30.268,1:30.992
8,11,Rubens Barrichello,Honda,1:31.972,1:30.598,1:31.478
9,16,Nick Heidfeld,BMW Sauber,1:31.811,1:30.470,1:31.513
10,10,Nico Rosberg,Williams,1:30.585,1:30.321,1:31.856
11,3,Kimi Räikkönen,McLaren,1:32.080,1:30.827,
12,17,Robert Kubica,BMW Sauber,1:31.204,1:31.094,
13,4,Pedro de la Rosa,McLaren,1:31.581,1:31.254,
14,9,Mark Webber,Williams,1:31.647,1:31.276,
15,20,Vitantonio Liuzzi,Toro Rosso,1:31.741,1:31.943,
16,19,Christijan Albers,Spyker MF1,1:32.221,1:33.750,
17,14,David Coulthard,Red Bull,1:32.252,,
18,15,Robert Doornbos,Red Bull,1:32.402,,
19,21,Scott Speed,Toro Rosso,1:32.867,,
20,22,Takuma Sato,Super Aguri,1:33.666,,
21,18,Tiago Monteiro,Spyker MF1,1:33.709,,
22,23,Sakon Yamamoto,Super Aguri,,,
