position,number,driver,constructor,Q1,Q2,Q3
1,33,Max Verstappen,Red Bull,1:15.817,1:15.573,1:14.572
2,77,Valtteri Bottas,Mercedes,1:16.078,1:15.669,1:14.590
3,44,Lewis Hamilton,Mercedes,1:16.068,1:15.548,1:14.769
4,16,Charles Leclerc,Ferrari,1:16.337,1:15.792,1:15.043
5,5,Sebastian Vettel,Ferrari,1:16.452,1:15.885,1:15.071
6,10,Pierre Gasly,Red Bull,1:16.716,1:16.393,1:15.450
7,4,Lando Norris,McLaren,1:16.697,1:16.060,1:15.800
8,55,Carlos Sainz,McLaren,1:16.493,1:16.308,1:15.852
9,8,Romain Grosjean,Haas F1 Team,1:16.978,1:16.319,1:16.013
10,7,Kimi Räikkönen,Alfa Romeo,1:16.506,1:16.518,1:16.041
11,27,Nico Hülkenberg,Renault,1:16.790,1:16.565,
12,23,Alexander Albon,Toro Rosso,1:16.912,1:16.687,
13,26,Daniil Kvyat,Toro Rosso,1:16.750,1:16.692,
14,99,Antonio Giovinazzi,Alfa Romeo,1:16.894,1:16.804,
15,20,Kevin Magnussen,Haas F1 Team,1:16.122,1:17.081,
16,63,George Russell,Williams,1:17.031,,
17,11,Sergio Pérez,Racing Point,1:17.109,,
18,3,Daniel Ricciardo,Renault,1:17.257,,
19,18,Lance Stroll,Racing Point,1:17.542,,
20,88,Robert Kubica,Williams,1:18.324,,
