Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,24,2
2,Patrick Depailler,Tyrrell,10,0
3,Clay Regazzoni,Ferrari,9,1
4,Jochen Mass,McLaren,7,0
5,James Hunt,McLaren,6,0
6,Jody Scheckter,Tyrrell,5,0
7,Tom Pryce,Shadow,4,0
8,Hans-Joachim Stuck,March,3,0
9,Jacques Laffite,Ligier,3,0
10,John Watson,Penske,2,0
11,Emerson Fittipaldi,Fittipaldi,1,0
12,Mario Andretti,Team Lotus,1,0
13,Jean-Pierre Jarier,Shadow,0,0
14,Chris Amon,Ensign,0,0
15,Jacky Ickx,Wolf,0,0
16,Vittorio Brambilla,March,0,0
17,Carlos Pace,Brabham-Alfa Romeo,0,0
18,Renzo Zorzi,Williams,0,0
19,Ronnie Peterson,Team Lotus,0,0
20,Bob Evans,Team Lotus,0,0
21,Ingo Hoffmann,Fittipaldi,0,0
22,Brett Lunger,Surtees,0,0
23,Carlos Reutemann,Brabham-Alfa Romeo,0,0
24,Michel Leclère,Wolf,0,0
25,Lella Lombardi,March,0,0
26,Harald Ertl,Hesketh,0,0
27,Alan Jones,Surtees,0,0
28,Gunnar Nilsson,Team Lotus,0,0
29,Ian Ashley,BRM,0,0
30,Arturo Merzario,March,0,0
