position,number,driver,constructor,laps,grid,status,points
1,5,Nelson Piquet,Brabham,72,5,Finished,9
2,16,René Arnoux,Renault,72,1,Finished,6
3,26,Jacques Laffite,Ligier,72,6,Finished,4
4,28,Carlos Reutemann,Williams,72,3,Finished,3
5,3,Jean-Pierre Jarier,Tyrrell,72,17,Finished,2
6,8,Alain Prost,McLaren,72,18,Finished,1
7,2,Gilles Villeneuve,Ferrari,71,7,+1 Lap,0
8,11,Mario Andretti,Team Lotus,70,10,Out of fuel,0
9,1,Jody Scheckter,Ferrari,70,12,+2 Laps,0
10,9,Marc Surer,ATS,69,20,+3 Laps,0
11,27,Alan Jones,Williams,69,4,+3 Laps,0
12,4,Derek Daly,Tyrrell,60,23,Brakes,0
13,23,Bruno Giacomelli,Alfa Romeo,58,8,Accident,0
14,31,Eddie Cheever,Osella,38,19,Engine,0
15,29,Riccardo Patrese,Arrows,29,14,Engine,0
16,15,Jean-Pierre Jabouille,Renault,23,2,Handling,0
17,22,Vittorio Brambilla,Alfa Romeo,21,22,Accident,0
18,41,Geoff Lees,Ensign,21,24,Accident,0
19,7,John Watson,McLaren,18,9,Engine,0
20,20,Emerson Fittipaldi,Fittipaldi,16,21,Brakes,0
21,43,Nigel Mansell,Team Lotus,15,16,Brakes,0
22,12,Elio de Angelis,Team Lotus,2,11,Accident,0
23,25,Didier Pironi,Ligier,2,15,Accident,0
24,6,Hector Rebaque,Brabham,1,13,Gearbox,0
25,50,Rupert Keegan,Williams,0,0,Did not qualify,0
26,14,Jan Lammers,Ensign,0,0,Did not qualify,0
27,30,Mike Thackwell,Arrows,0,0,Did not qualify,0
28,21,Keke Rosberg,Fittipaldi,0,0,Did not qualify,0
29,30,Jochen Mass,Arrows,0,0,Withdrew,0
