position,number,driver,constructor,Q1,Q2,Q3
1,3,Jacques Villeneuve,Williams,1:29.369,,
2,4,Heinz-Harald Frentzen,Williams,1:31.123,,
3,5,Michael Schumacher,Ferrari,1:31.472,,
4,10,David Coulthard,McLaren,1:31.531,,
5,6,Eddie Irvine,Ferrari,1:31.881,,
6,9,Mika Häkkinen,McLaren,1:31.971,,
7,16,Johnny Herbert,Sauber,1:32.287,,
8,7,Jean Alesi,Benetton,1:32.593,,
9,14,Olivier Panis,Prost,1:32.842,,
10,8,Gerhard Berger,Benetton,1:32.870,,
11,22,Rubens Barrichello,Stewart,1:33.075,,
12,11,Ralf Schumacher,Jordan,1:33.130,,
13,17,Nicola Larini,Sauber,1:33.327,,
14,12,Giancarlo Fisichella,Jordan,1:33.552,,
15,20,Ukyo Katayama,Minardi,1:33.798,,
16,15,Shinji Nakano,Prost,1:33.989,,
17,21,Jarno Trulli,Minardi,1:34.120,,
18,19,Mika Salo,Tyrrell,1:34.229,,
19,23,Jan Magnussen,Stewart,1:34.623,,
20,1,Damon Hill,Arrows,1:34.806,,
21,18,Jos Verstappen,Tyrrell,1:34.943,,
22,2,Pedro Diniz,Arrows,1:35.972,,
