Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,93,3
2,Lewis Hamilton,McLaren,59,1
3,Mark Webber,Red Bull,55,0
4,Jenson Button,McLaren,46,0
5,Fernando Alonso,Ferrari,41,0
6,Felipe Massa,Ferrari,24,0
7,Nick Heidfeld,Renault,21,0
8,Vitaly Petrov,Renault,21,0
9,Nico Rosberg,Mercedes,20,0
10,Kamui Kobayashi,Sauber,8,0
11,Michael Schumacher,Mercedes,6,0
12,Sébastien Buemi,Toro Rosso,6,0
13,Adrian Sutil,Force India,2,0
14,Paul di Resta,Force India,2,0
15,Jaime Alguersuari,Toro Rosso,0,0
16,Rubens Barrichello,Williams,0,0
17,Jarno Trulli,Lotus,0,0
18,Sergio Pérez,Sauber,0,0
19,Jérôme d'Ambrosio,Virgin,0,0
20,Heikki Kovalainen,Lotus,0,0
21,Timo Glock,Virgin,0,0
22,Pastor Maldonado,Williams,0,0
23,Narain Karthikeyan,HRT,0,0
24,Vitantonio Liuzzi,HRT,0,0
