position,number,driver,constructor,Q1,Q2,Q3
1,3,Jacques Villeneuve,Williams,1:16.525,,
2,4,Heinz-Harald Frentzen,Williams,1:16.791,,
3,10,David Coulthard,McLaren,1:17.521,,
4,7,Jean Alesi,Benetton,1:17.717,,
5,10,Mika Häkkinen,McLaren,1:17.737,,
6,8,Gerhard Berger,Benetton,1:18.041,,
7,5,Michael Schumacher,Ferrari,1:18.313,,
8,12,Giancarlo Fisichella,Jordan,1:18.385,,
9,11,Ralf Schumacher,Jordan,1:18.423,,
10,16,Johnny Herbert,Sauber,1:18.494,,
11,6,Eddie Irvine,Ferrari,1:18.873,,
12,14,Olivier Panis,Prost,1:19.157,,
13,17,Gianni Morbidelli,Sauber,1:19.323,,
14,18,Mika Salo,Tyrrell,1:20.079,,
15,1,Damon Hill,Arrows,1:20.089,,
16,15,Shinji Nakano,Prost,1:20.103,,
17,22,Rubens Barrichello,Stewart,1:20.255,,
18,21,Jarno Trulli,Minardi,1:20.452,,
19,19,Jos Verstappen,Tyrrell,1:20.582,,
20,20,Ukyo Katayama,Minardi,1:20.672,,
21,2,Pedro Diniz,Arrows,1:21.029,,
22,23,Jan Magnussen,Stewart,1:21.060,,
