round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1960-02-07,,Autódromo Juan y Oscar Gálvez,Argentina
2,Monaco Grand Prix,1960-05-29,,Circuit de Monaco,Monaco
3,Indianapolis 500,1960-05-30,,Indianapolis Motor Speedway,USA
4,Dutch Grand Prix,1960-06-06,,Circuit Park Zandvoort,Netherlands
5,Belgian Grand Prix,1960-06-19,,Circuit de Spa-Francorchamps,Belgium
6,French Grand Prix,1960-07-03,,Reims-Gueux,France
7,British Grand Prix,1960-07-16,,Silverstone Circuit,UK
8,Portuguese Grand Prix,1960-08-14,,Circuito da Boavista,Portugal
9,Italian Grand Prix,1960-09-04,,Autodromo Nazionale di Monza,Italy
10,United States Grand Prix,1960-11-20,,Riverside International Raceway,USA
