Position,Driver,Constructor,Points,Wins
1,Stirling Moss,Lotus-Climax,9,1
2,Richie Ginther,Ferrari,6,0
3,Phil Hill,Ferrari,4,0
4,Wolfgang von Trips,Ferrari,3,0
5,Dan Gurney,Porsche,2,0
6,Bruce McLaren,Cooper-Climax,1,0
7,Maurice Trintignant,Cooper-Maserati,0,0
8,Cliff Allison,Lotus-Climax,0,0
9,Hans Herrmann,Porsche,0,0
10,Jim Clark,Lotus-Climax,0,0
11,John Surtees,Cooper-Climax,0,0
12,Jo Bonnier,Porsche,0,0
13,Tony Brooks,BRM,0,0
14,Michael May,Lotus-Climax,0,0
15,Jack Brabham,Cooper-Climax,0,0
16,Graham Hill,BRM,0,0
17,Innes Ireland,Lotus-Climax,0,0
18,Henry Taylor,Lotus-Climax,0,0
19,Masten Gregory,Cooper-Climax,0,0
20,Lucien Bianchi,Emeryson,0,0
21,Olivier Gendebien,Emeryson,0,0
