Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,14,1
2,Kimi Räikkönen,Ferrari,11,1
3,Nick Heidfeld,BMW Sauber,11,0
4,Heikki Kovalainen,McLaren,10,0
5,Robert Kubica,BMW Sauber,8,0
6,Nico Rosberg,Williams,6,0
7,Fernando Alonso,Renault,6,0
8,Jarno Trulli,Toyota,5,0
9,Kazuki Nakajima,Williams,3,0
10,Sébastien Bourdais,Toro Rosso,2,0
11,Mark Webber,Red Bull,2,0
12,David Coulthard,Red Bull,0,0
13,Jenson Button,Honda,0,0
14,Nelson Piquet Jr.,Renault,0,0
15,Giancarlo Fisichella,Force India,0,0
16,Rubens Barrichello,Honda,0,0
17,Anthony Davidson,Super Aguri,0,0
18,Takuma Sato,Super Aguri,0,0
