position,number,driver,constructor,Q1,Q2,Q3
1,2,Felipe Massa,Ferrari,1:35.347,1:34.412,1:35.748
2,1,Kimi Räikkönen,Ferrari,1:35.645,1:34.188,1:36.230
3,23,Heikki Kovalainen,McLaren,1:35.227,1:34.759,1:36.613
4,22,Lewis Hamilton,McLaren,1:35.392,1:34.627,1:36.709
5,11,Jarno Trulli,Toyota,1:35.205,1:34.960,1:36.711
6,4,Robert Kubica,BMW Sauber,1:35.794,1:34.811,1:36.727
7,3,Nick Heidfeld,BMW Sauber,1:35.729,1:34.648,1:36.753
8,10,Mark Webber,Red Bull,1:35.440,1:34.967,1:37.009
9,5,Fernando Alonso,Renault,1:35.983,1:35.140,1:38.450
10,12,Timo Glock,Toyota,1:35.891,1:35.000,1:39.656
11,16,Jenson Button,Honda,1:35.847,1:35.208,
12,9,David Coulthard,Red Bull,1:36.058,1:35.408,
13,6,Nelson Piquet Jr.,Renault,1:36.074,1:35.562,
14,17,Rubens Barrichello,Honda,1:36.198,1:35.622,
15,15,Sebastian Vettel,Toro Rosso,1:36.111,1:35.648,
16,7,Nico Rosberg,Williams,1:35.843,1:35.670,
17,21,Giancarlo Fisichella,Force India,1:36.240,,
18,8,Kazuki Nakajima,Williams,1:36.388,,
19,14,Sébastien Bourdais,Toro Rosso,1:36.677,,
20,18,Takuma Sato,Super Aguri,1:37.087,,
21,20,Adrian Sutil,Force India,1:37.101,,
22,19,Anthony Davidson,Super Aguri,1:37.481,,
