position,number,driver,constructor,Q1,Q2,Q3
1,4,Lewis Hamilton,McLaren,1:41.497,1:40.901,1:40.630
2,2,Mark Webber,Red Bull,1:41.933,1:41.277,1:40.978
3,1,Sebastian Vettel,Red Bull,1:42.160,1:41.511,1:41.073
4,18,Pastor Maldonado,Williams,1:41.981,1:41.907,1:41.226
5,9,Kimi Räikkönen,Lotus F1,1:42.222,1:41.532,1:41.260
6,3,Jenson Button,McLaren,1:42.342,1:41.873,1:41.290
7,5,Fernando Alonso,Ferrari,1:41.939,1:41.514,1:41.582
8,8,Nico Rosberg,Mercedes,1:41.926,1:41.698,1:41.603
9,6,Felipe Massa,Ferrari,1:41.974,1:41.846,1:41.723
10,10,Romain Grosjean,Lotus F1,1:42.046,1:41.620,1:41.778
11,12,Nico Hülkenberg,Force India,1:42.579,1:42.019,
12,15,Sergio Pérez,Sauber,1:42.624,1:42.084,
13,11,Paul di Resta,Force India,1:42.572,1:42.218,
14,7,Michael Schumacher,Mercedes,1:42.735,1:42.289,
15,19,Bruno Senna,Williams,1:43.298,1:42.330,
16,14,Kamui Kobayashi,Sauber,1:43.582,1:42.606,
17,16,Daniel Ricciardo,Toro Rosso,1:43.280,1:42.765,
18,17,Jean-Éric Vergne,Toro Rosso,1:44.058,,
19,20,Heikki Kovalainen,Caterham,1:44.956,,
20,25,Charles Pic,Marussia,1:45.089,,
21,21,Vitaly Petrov,Caterham,1:45.151,,
22,24,Timo Glock,Marussia,1:45.426,,
23,22,Pedro de la Rosa,HRT,1:45.766,,
24,23,Narain Karthikeyan,HRT,1:46.382,,
