position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:20.685,1:20.032,1:19.555
2,44,Lewis Hamilton,Mercedes,1:20.543,1:19.936,1:19.651
3,33,Max Verstappen,Red Bull,1:21.035,1:20.229,1:19.966
4,4,Lando Norris,McLaren,1:20.916,1:20.059,1:19.989
5,3,Daniel Ricciardo,McLaren,1:21.292,1:20.435,1:19.995
6,10,Pierre Gasly,AlphaTauri,1:21.440,1:20.556,1:20.260
7,55,Carlos Sainz,Ferrari,1:21.118,1:20.750,1:20.462
8,16,Charles Leclerc,Ferrari,1:21.219,1:20.767,1:20.510
9,11,Sergio Pérez,Red Bull,1:21.308,1:20.882,1:20.611
10,99,Antonio Giovinazzi,Alfa Romeo,1:21.197,1:20.726,1:20.808
11,5,Sebastian Vettel,Aston Martin,1:21.394,1:20.913,
12,18,Lance Stroll,Aston Martin,1:21.415,1:21.020,
13,14,Fernando Alonso,Alpine F1 Team,1:21.487,1:21.069,
14,31,Esteban Ocon,Alpine F1 Team,1:21.500,1:21.103,
15,63,George Russell,Williams,1:21.890,1:21.392,
16,6,Nicholas Latifi,Williams,1:21.925,,
17,22,Yuki Tsunoda,AlphaTauri,1:21.973,,
18,47,Mick Schumacher,Haas F1 Team,1:22.248,,
19,88,Robert Kubica,Alfa Romeo,1:22.530,,
20,9,Nikita Mazepin,Haas F1 Team,1:22.716,,
