position,number,driver,constructor,laps,grid,status,points
1,3,Daniel Ricciardo,McLaren,53,2,Finished,26
2,4,Lando Norris,McLaren,53,3,Finished,18
3,77,Valtteri Bottas,Mercedes,53,19,Finished,15
4,16,Charles Leclerc,Ferrari,53,5,Finished,12
5,11,Sergio Pérez,Red Bull,53,8,Finished,10
6,55,Carlos Sainz,Ferrari,53,6,Finished,8
7,18,Lance Stroll,Aston Martin,53,9,Finished,6
8,14,Fernando Alonso,Alpine F1 Team,53,10,Finished,4
9,63,George Russell,Williams,53,14,Finished,2
10,31,Esteban Ocon,Alpine F1 Team,53,12,Finished,1
11,6,Nicholas Latifi,Williams,53,13,Finished,0
12,5,Sebastian Vettel,Aston Martin,53,11,Finished,0
13,99,Antonio Giovinazzi,Alfa Romeo,53,7,Finished,0
14,88,Robert Kubica,Alfa Romeo,53,17,Finished,0
15,47,Mick Schumacher,Haas F1 Team,53,18,Finished,0
16,9,Nikita Mazepin,Haas F1 Team,41,16,Power Unit,0
17,44,Lewis Hamilton,Mercedes,25,4,Collision,0
18,33,Max Verstappen,Red Bull,25,1,Collision,0
19,10,Pierre Gasly,AlphaTauri,3,0,Suspension,0
20,22,Yuki Tsunoda,AlphaTauri,0,0,Brakes,0
