position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:25.900,1:25.347,1:24.303
2,77,Valtteri Bottas,Mercedes,1:25.801,1:25.015,1:24.616
3,33,Max Verstappen,Red Bull,1:26.115,1:26.144,1:25.325
4,16,Charles Leclerc,Ferrari,1:26.550,1:26.203,1:25.427
5,4,Lando Norris,McLaren,1:26.855,1:26.420,1:25.782
6,18,Lance Stroll,Racing Point,1:26.243,1:26.501,1:25.839
7,55,Carlos Sainz,McLaren,1:26.715,1:26.149,1:25.965
8,3,Daniel Ricciardo,Renault,1:26.677,1:26.339,1:26.009
9,31,Esteban Ocon,Renault,1:26.396,1:26.252,1:26.209
10,5,Sebastian Vettel,Ferrari,1:26.469,1:26.455,1:26.339
11,10,Pierre Gasly,AlphaTauri,1:26.343,1:26.501,
12,23,Alexander Albon,Red Bull,1:26.565,1:26.545,
13,27,Nico Hülkenberg,Racing Point,1:26.327,1:26.566,
14,26,Daniil Kvyat,AlphaTauri,1:26.774,1:26.744,
15,63,George Russell,Williams,1:26.732,1:27.092,
16,20,Kevin Magnussen,Haas F1 Team,1:27.158,,
17,99,Antonio Giovinazzi,Alfa Romeo,1:27.164,,
18,7,Kimi Räikkönen,Alfa Romeo,1:27.366,,
19,8,Romain Grosjean,Haas F1 Team,1:27.643,,
20,6,Nicholas Latifi,Williams,1:27.705,,
