position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:42.323,1:42.014,1:41.252
2,77,Valtteri Bottas,Mercedes,1:42.534,1:42.126,1:41.763
3,33,Max Verstappen,Red Bull,1:43.197,1:42.473,1:41.778
4,3,Daniel Ricciardo,Renault,1:43.309,1:42.487,1:42.061
5,23,Alexander Albon,Red Bull,1:43.418,1:42.193,1:42.264
6,31,Esteban Ocon,Renault,1:43.505,1:42.534,1:42.396
7,55,Carlos Sainz,McLaren,1:43.322,1:42.478,1:42.438
8,11,Sergio Pérez,Racing Point,1:43.349,1:42.670,1:42.532
9,18,Lance Stroll,Racing Point,1:43.265,1:42.491,1:42.603
10,4,Lando Norris,McLaren,1:43.514,1:42.722,1:42.657
11,26,Daniil Kvyat,AlphaTauri,1:43.267,1:42.730,
12,10,Pierre Gasly,AlphaTauri,1:43.262,1:42.745,
13,16,Charles Leclerc,Ferrari,1:43.656,1:42.996,
14,5,Sebastian Vettel,Ferrari,1:43.567,1:43.261,
15,63,George Russell,Williams,1:43.630,1:43.468,
16,7,Kimi Räikkönen,Alfa Romeo,1:43.743,,
17,8,Romain Grosjean,Haas F1 Team,1:43.838,,
18,99,Antonio Giovinazzi,Alfa Romeo,1:43.950,,
19,6,Nicholas Latifi,Williams,1:44.138,,
20,20,Kevin Magnussen,Haas F1 Team,1:44.314,,
