round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1987-04-12,,Autódromo Internacional Nelson Piquet,Brazil
2,San Marino Grand Prix,1987-05-03,,Autodromo Enzo e Dino Ferrari,Italy
3,Belgian Grand Prix,1987-05-17,,Circuit de Spa-Francorchamps,Belgium
4,Monaco Grand Prix,1987-05-31,,Circuit de Monaco,Monaco
5,Detroit Grand Prix,1987-06-21,,Detroit Street Circuit,USA
6,French Grand Prix,1987-07-05,,Circuit Paul Ricard,France
7,British Grand Prix,1987-07-12,,Silverstone Circuit,UK
8,German Grand Prix,1987-07-26,,Hockenheimring,Germany
9,Hungarian Grand Prix,1987-08-09,,Hungaroring,Hungary
10,Austrian Grand Prix,1987-08-16,,Red Bull Ring,Austria
11,Italian Grand Prix,1987-09-06,,Autodromo Nazionale di Monza,Italy
12,Portuguese Grand Prix,1987-09-20,,Autódromo do Estoril,Portugal
13,Spanish Grand Prix,1987-09-27,,Circuito de Jerez,Spain
14,Mexican Grand Prix,1987-10-18,,Autódromo Hermanos Rodríguez,Mexico
15,Japanese Grand Prix,1987-11-01,,Suzuka Circuit,Japan
16,Australian Grand Prix,1987-11-15,,Adelaide Street Circuit,Australia
