Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Renault,59,4
2,Kimi Räikkönen,McLaren,37,3
3,Michael Schumacher,Ferrari,34,1
4,Rubens Barrichello,Ferrari,29,0
5,Jarno Trulli,Toyota,27,0
6,Nick Heidfeld,Williams,25,0
7,Mark Webber,Williams,22,0
8,Ralf Schumacher,Toyota,20,0
9,Giancarlo Fisichella,Renault,17,1
10,David Coulthard,Red Bull,17,0
11,Juan Pablo Montoya,McLaren,16,0
12,Felipe Massa,Sauber,7,0
13,Tiago Monteiro,Jordan,6,0
14,Alexander Wurz,McLaren,6,0
15,Jacques Villeneuve,Sauber,5,0
16,Narain Karthikeyan,Jordan,5,0
17,Christijan Albers,Minardi,4,0
18,Pedro de la Rosa,McLaren,4,0
19,Christian Klien,Red Bull,4,0
20,Patrick Friesacher,Minardi,3,0
21,Vitantonio Liuzzi,Red Bull,1,0
22,Jenson Button,BAR,0,0
23,Takuma Sato,BAR,0,0
24,Ricardo Zonta,Toyota,0,0
25,Anthony Davidson,BAR,0,0
