position,number,driver,constructor,Q1,Q2,Q3
1,33,Max Verstappen,Red Bull,1:04.489,1:04.433,1:03.841
2,77,Valtteri Bottas,Mercedes,1:04.537,1:04.443,1:04.035
3,44,Lewis Hamilton,Mercedes,1:04.672,1:04.512,1:04.067
4,4,Lando Norris,McLaren,1:04.584,1:04.298,1:04.120
5,11,Sergio Pérez,Red Bull,1:04.638,1:04.197,1:04.168
6,10,Pierre Gasly,AlphaTauri,1:04.765,1:04.429,1:04.236
7,16,Charles Leclerc,Ferrari,1:04.745,1:04.646,1:04.472
8,22,Yuki Tsunoda,AlphaTauri,1:04.608,1:04.631,1:04.514
9,14,Fernando Alonso,Alpine F1 Team,1:04.971,1:04.582,1:04.574
10,18,Lance Stroll,Aston Martin,1:04.821,1:04.663,1:04.708
11,63,George Russell,Williams,1:05.033,1:04.671,
12,55,Carlos Sainz,Ferrari,1:04.859,1:04.800,
13,3,Daniel Ricciardo,McLaren,1:05.142,1:04.808,
14,5,Sebastian Vettel,Aston Martin,1:05.051,1:04.875,
15,99,Antonio Giovinazzi,Alfa Romeo,1:05.092,1:04.913,
16,6,Nicholas Latifi,Williams,1:05.175,,
17,31,Esteban Ocon,Alpine F1 Team,1:05.217,,
18,7,Kimi Räikkönen,Alfa Romeo,1:05.429,,
19,47,Mick Schumacher,Haas F1 Team,1:06.041,,
20,9,Nikita Mazepin,Haas F1 Team,1:06.192,,
