Position,Driver,Constructor,Points,Wins
1,Nino Farina,Alfa Romeo,12,1
2,Juan Fangio,Alfa Romeo,10,1
3,Lee Wallard,Kurtis Kraft,9,1
4,Alberto Ascari,Ferrari,6,0
5,Piero Taruffi,Ferrari,6,0
6,Mike Nazaruk,Kurtis Kraft,6,0
7,Luigi Villoresi,Ferrari,4,0
8,Louis Rosier,Talbot-Lago,3,0
9,Consalvo Sanesi,Alfa Romeo,3,0
10,Andy Linden,Sherman,3,0
11,Jack McGrath,Kurtis Kraft,2,0
12,Yves Cabantous,Talbot-Lago,2,0
13,Bobby Ball,Schroeder,2,0
14,Toulo de Graffenried,Alfa Romeo,2,0
15,Manny Ayulo,Kurtis Kraft,2,0
16,Henry Banks,Moore,0,0
17,André Pilette,Talbot-Lago,0,0
18,Johnny Claes,Talbot-Lago,0,0
19,Louis Chiron,Maserati,0,0
20,Carl Forberg,Kurtis Kraft,0,0
21,Duane Carter,Deidt,0,0
22,Pierre Levegh,Talbot-Lago,0,0
23,Stirling Moss,HWM,0,0
24,Philippe Étancelin,Talbot-Lago,0,0
25,Rudi Fischer,Ferrari,0,0
26,Harry Schell,Maserati,0,0
27,Guy Mairesse,Talbot-Lago,0,0
28,Tony Bettenhausen,Deidt,0,0
29,Duke Nalon,Kurtis Kraft,0,0
30,Gene Force,Kurtis Kraft,0,0
