round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1973-01-28,,Autódromo Juan y Oscar Gálvez,Argentina
2,Brazilian Grand Prix,1973-02-11,,Autódromo José Carlos Pace,Brazil
3,South African Grand Prix,1973-03-03,,Kyalami,South Africa
4,Spanish Grand Prix,1973-04-29,,Montjuïc,Spain
5,Belgian Grand Prix,1973-05-20,,Zolder,Belgium
6,Monaco Grand Prix,1973-06-03,,Circuit de Monaco,Monaco
7,Swedish Grand Prix,1973-06-17,,Scandinavian Raceway,Sweden
8,French Grand Prix,1973-07-01,,Circuit Paul Ricard,France
9,British Grand Prix,1973-07-14,,Silverstone Circuit,UK
10,Dutch Grand Prix,1973-07-29,,Circuit Park Zandvoort,Netherlands
11,German Grand Prix,1973-08-05,,Nürburgring,Germany
12,Austrian Grand Prix,1973-08-19,,Red Bull Ring,Austria
13,Italian Grand Prix,1973-09-09,,Autodromo Nazionale di Monza,Italy
14,Canadian Grand Prix,1973-09-23,,Mosport International Raceway,Canada
15,United States Grand Prix,1973-10-07,,Watkins Glen,USA
