position,number,driver,constructor,laps,grid,status,points
1,1,Niki Lauda,Ferrari,78,2,Finished,9
2,11,James Hunt,McLaren,78,1,Finished,6
3,12,Jochen Mass,McLaren,78,4,Finished,4
4,3,Jody Scheckter,Tyrrell,78,12,Finished,3
5,28,John Watson,Penske,77,3,+1 Lap,2
6,27,Mario Andretti,Parnelli,77,13,+1 Lap,1
7,16,Tom Pryce,Shadow,77,7,+1 Lap,0
8,9,Vittorio Brambilla,March,77,5,+1 Lap,0
9,4,Patrick Depailler,Tyrrell,77,6,+1 Lap,0
10,5,Bob Evans,Team Lotus,77,23,+1 Lap,0
11,18,Brett Lunger,Surtees,77,20,+1 Lap,0
12,34,Hans-Joachim Stuck,March,76,17,+2 Laps,0
13,21,Michel Leclère,Wolf,76,22,+2 Laps,0
14,22,Chris Amon,Ensign,76,18,+2 Laps,0
15,24,Harald Ertl,Hesketh,74,24,+4 Laps,0
16,20,Jacky Ickx,Wolf,73,19,+5 Laps,0
17,30,Emerson Fittipaldi,Fittipaldi,70,21,Engine,0
18,2,Clay Regazzoni,Ferrari,52,9,Engine,0
19,26,Jacques Laffite,Ligier,49,8,Engine,0
20,17,Jean-Pierre Jarier,Shadow,28,15,Radiator,0
21,8,Carlos Pace,Brabham-Alfa Romeo,22,14,Oil pressure,0
22,6,Gunnar Nilsson,Team Lotus,18,25,Clutch,0
23,7,Carlos Reutemann,Brabham-Alfa Romeo,16,11,Oil pressure,0
24,10,Ronnie Peterson,March,15,13,Accident,0
25,15,Ian Scheckter,Tyrrell,0,16,Accident,0
