Position,Driver,Constructor,Points,Wins
1,Jim Clark,Lotus-Climax,9,1
2,John Surtees,Ferrari,6,0
3,Graham Hill,BRM,4,0
4,Mike Spence,Lotus-Climax,3,0
5,Bruce McLaren,Cooper-Climax,2,0
6,Jackie Stewart,BRM,1,0
7,Jo Siffert,Brabham-BRM,0,0
8,Jack Brabham,Brabham-Climax,0,0
9,Paul Hawkins,Brabham-Ford,0,0
10,Peter de Klerk,Alfa Romeo,0,0
11,Tony Maggs,Lotus-BRM,0,0
12,Frank Gardner,Brabham-BRM,0,0
13,Sam Tingle,LDS-Alfa Romeo,0,0
14,David Prophet,Brabham-Ford,0,0
15,Lorenzo Bandini,Ferrari,0,0
16,Bob Anderson,Brabham-Climax,0,0
17,Jo Bonnier,Brabham-Climax,0,0
18,Jochen Rindt,Cooper-Climax,0,0
19,John Love,Cooper-Climax,0,0
20,Dan Gurney,Brabham-Climax,0,0
21,Trevor Blokdyk,Cooper-Ford,0,0
22,Neville Lederle,Lotus-Climax,0,0
23,Doug Serrurier,LDS-Climax,0,0
24,Brausch Niemann,Lotus-Ford,0,0
25,Ernie Pieterse,Lotus-Climax,0,0
26,Clive Puzey,Lotus-Climax,0,0
27,Jackie Pretorius,LDS-Alfa Romeo,0,0
28,Dave Charlton,Lotus-Ford,0,0
29,Ray Reed,RE,0,0
30,David Clapham,Cooper-Maserati,0,0
