Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,70,1
2,Sebastian Vettel,Ferrari,66,2
3,Kimi Räikkönen,Ferrari,48,0
4,Valtteri Bottas,Mercedes,40,0
5,Daniel Ricciardo,Red Bull,37,1
6,Fernando Alonso,McLaren,28,0
7,Nico Hülkenberg,Renault,22,0
8,Max Verstappen,Red Bull,18,0
9,Sergio Pérez,Force India,15,0
10,Carlos Sainz,Renault,13,0
11,Pierre Gasly,Toro Rosso,12,0
12,Kevin Magnussen,Haas F1 Team,11,0
13,Charles Leclerc,Sauber,8,0
14,Stoffel Vandoorne,McLaren,8,0
15,Lance Stroll,Williams,4,0
16,Marcus Ericsson,Sauber,2,0
17,Esteban Ocon,Force India,1,0
18,Brendon Hartley,Toro Rosso,1,0
19,Romain Grosjean,Haas F1 Team,0,0
20,Sergey Sirotkin,Williams,0,0
