Position,Driver,Constructor,Points,Wins
1,Denny Hulme,McLaren,9,1
2,Niki Lauda,Ferrari,6,0
3,Clay Regazzoni,Ferrari,4,0
4,Mike Hailwood,McLaren,3,0
5,Jean-Pierre Beltoise,BRM,2,0
6,Patrick Depailler,Tyrrell,1,0
7,Carlos Reutemann,Brabham,0,0
8,Howden Ganley,March,0,0
9,Henri Pescarolo,BRM,0,0
10,Emerson Fittipaldi,McLaren,0,0
11,Guy Edwards,Lola,0,0
12,John Watson,Brabham,0,0
13,Ronnie Peterson,Team Lotus,0,0
14,Graham Hill,Lola,0,0
15,Jacky Ickx,Team Lotus,0,0
16,Richard Robarts,Brabham,0,0
17,Hans-Joachim Stuck,March,0,0
18,François Migault,BRM,0,0
19,Jody Scheckter,Tyrrell,0,0
20,Carlos Pace,Surtees,0,0
21,Arturo Merzario,Iso Marlboro,0,0
22,James Hunt,March,0,0
23,Jochen Mass,Surtees,0,0
24,Peter Revson,Shadow,0,0
25,Jean-Pierre Jarier,Shadow,0,0
