position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:04.175,1:03.756,1:03.130
2,44,Lewis Hamilton,Mercedes,1:04.080,1:03.577,1:03.149
3,5,Sebastian Vettel,Ferrari,1:04.347,1:03.544,1:03.464
4,7,Kimi Räikkönen,Ferrari,1:04.234,1:03.975,1:03.660
5,33,Max Verstappen,Red Bull,1:04.273,1:04.001,1:03.840
6,8,Romain Grosjean,Haas F1 Team,1:04.242,1:04.059,1:03.892
7,3,Daniel Ricciardo,Red Bull,1:04.723,1:04.403,1:03.996
8,20,Kevin Magnussen,Haas F1 Team,1:04.460,1:04.291,1:04.051
9,55,Carlos Sainz,Renault,1:04.948,1:04.561,1:04.725
10,27,Nico Hülkenberg,Renault,1:04.864,1:04.676,1:05.019
11,31,Esteban Ocon,Force India,1:05.148,1:04.845,
12,10,Pierre Gasly,Toro Rosso,1:05.011,1:04.874,
13,16,Charles Leclerc,Sauber,1:04.967,1:04.979,
14,14,Fernando Alonso,McLaren,1:04.965,1:05.058,
15,18,Lance Stroll,Williams,1:05.264,1:05.286,
16,2,Stoffel Vandoorne,McLaren,1:05.271,,
17,11,Sergio Pérez,Force India,1:05.279,,
18,35,Sergey Sirotkin,Williams,1:05.322,,
19,28,Brendon Hartley,Toro Rosso,1:05.366,,
20,9,Marcus Ericsson,Sauber,1:05.479,,
