Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,58,4
2,Kimi Räikkönen,McLaren,51,1
3,Ralf Schumacher,Williams,43,1
4,Juan Pablo Montoya,Williams,39,1
5,Fernando Alonso,Renault,39,0
6,Rubens Barrichello,Ferrari,37,0
7,David Coulthard,McLaren,25,1
8,Jarno Trulli,Renault,13,0
9,Giancarlo Fisichella,Jordan,10,1
10,Jenson Button,BAR,10,0
11,Mark Webber,Jaguar,9,0
12,Heinz-Harald Frentzen,Sauber,7,0
13,Cristiano da Matta,Toyota,3,0
14,Jacques Villeneuve,BAR,3,0
15,Nick Heidfeld,Sauber,2,0
16,Olivier Panis,Toyota,1,0
17,Ralph Firman,Jordan,1,0
18,Antônio Pizzonia,Jaguar,0,0
19,Jos Verstappen,Minardi,0,0
20,Justin Wilson,Minardi,0,0
