Position,Driver,Constructor,Points,Wins
1,Mark Webber,Red Bull,187,4
2,Lewis Hamilton,McLaren,182,3
3,Fernando Alonso,Ferrari,166,3
4,Jenson Button,McLaren,165,2
5,Sebastian Vettel,Red Bull,163,2
6,Felipe Massa,Ferrari,124,0
7,Nico Rosberg,Mercedes,112,0
8,Robert Kubica,Renault,108,0
9,Michael Schumacher,Mercedes,46,0
10,Adrian Sutil,Force India,45,0
11,Rubens Barrichello,Williams,31,0
12,Kamui Kobayashi,Sauber,21,0
13,Vitaly Petrov,Renault,19,0
14,Nico Hülkenberg,Williams,16,0
15,Vitantonio Liuzzi,Force India,13,0
16,Sébastien Buemi,Toro Rosso,7,0
17,Pedro de la Rosa,Sauber,6,0
18,Jaime Alguersuari,Toro Rosso,3,0
19,Heikki Kovalainen,Lotus,0,0
20,Karun Chandhok,HRT,0,0
21,Lucas di Grassi,Virgin,0,0
22,Jarno Trulli,Lotus,0,0
23,Bruno Senna,HRT,0,0
24,Timo Glock,Virgin,0,0
25,Sakon Yamamoto,HRT,0,0
