position,number,driver,constructor,laps,grid,status,points
1,33,Max Verstappen,Red Bull,71,2,Finished,25
2,77,Valtteri Bottas,Mercedes,71,4,Finished,18
3,7,Kimi Räikkönen,Ferrari,71,5,Finished,15
4,5,Sebastian Vettel,Ferrari,71,1,Finished,12
5,31,Esteban Ocon,Force India,70,6,+1 Lap,10
6,18,Lance Stroll,Williams,70,11,+1 Lap,8
7,11,Sergio Pérez,Force India,70,9,+1 Lap,6
8,20,Kevin Magnussen,Haas F1 Team,70,14,+1 Lap,4
9,44,Lewis Hamilton,Mercedes,70,3,+1 Lap,2
10,14,Fernando Alonso,McLaren,70,18,+1 Lap,1
11,19,Felipe Massa,Williams,70,10,+1 Lap,0
12,2,Stoffel Vandoorne,McLaren,70,19,+1 Lap,0
13,10,Pierre Gasly,Toro Rosso,70,20,+1 Lap,0
14,94,Pascal Wehrlein,Sauber,69,13,+2 Laps,0
15,8,Romain Grosjean,Haas F1 Team,69,15,+2 Laps,0
16,55,Carlos Sainz,Renault,59,8,Engine,0
17,9,Marcus Ericsson,Sauber,55,12,Engine,0
18,28,Brendon Hartley,Toro Rosso,30,17,Engine,0
19,27,Nico Hülkenberg,Renault,24,7,Electrical,0
20,3,Daniel Ricciardo,Red Bull,5,16,Engine,0
