position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Ferrari,1:17.665,1:16.870,1:16.488
2,33,Max Verstappen,Red Bull,1:17.630,1:16.524,1:16.574
3,44,Lewis Hamilton,Mercedes,1:17.518,1:17.035,1:16.934
4,77,Valtteri Bottas,Mercedes,1:17.578,1:17.161,1:16.958
5,7,Kimi Räikkönen,Ferrari,1:18.148,1:17.534,1:17.238
6,31,Esteban Ocon,Force India,1:18.336,1:17.827,1:17.437
7,3,Daniel Ricciardo,Red Bull,1:18.208,1:17.631,1:17.447
8,27,Nico Hülkenberg,Renault,1:18.322,1:17.792,1:17.466
9,55,Carlos Sainz,Renault,1:18.405,1:17.753,1:17.794
10,11,Sergio Pérez,Force India,1:18.020,1:17.868,1:17.807
11,19,Felipe Massa,Williams,1:18.570,1:18.099,
12,18,Lance Stroll,Williams,1:18.902,1:19.159,
13,28,Brendon Hartley,Toro Rosso,1:18.683,,
14,14,Fernando Alonso,McLaren,1:17.710,,
15,2,Stoffel Vandoorne,McLaren,1:18.578,,
16,9,Marcus Ericsson,Sauber,1:19.176,,
17,94,Pascal Wehrlein,Sauber,1:19.333,,
18,20,Kevin Magnussen,Haas F1 Team,1:19.443,,
19,8,Romain Grosjean,Haas F1 Team,1:19.473,,
