position,number,driver,constructor,Q1,Q2,Q3
1,2,Nigel Mansell,Williams,1:16.179,,
2,5,Michael Schumacher,Benetton,1:16.197,,
3,0,Damon Hill,Williams,1:16.830,,
4,7,Mika Häkkinen,McLaren,1:16.992,,
5,14,Rubens Barrichello,Jordan,1:17.537,,
6,15,Eddie Irvine,Jordan,1:17.667,,
7,6,Johnny Herbert,Benetton,1:17.727,,
8,27,Jean Alesi,Ferrari,1:17.801,,
9,8,Martin Brundle,McLaren,1:17.950,,
10,30,Heinz-Harald Frentzen,Sauber,1:17.962,,
11,28,Gerhard Berger,Ferrari,1:18.070,,
12,26,Olivier Panis,Ligier,1:18.072,,
13,4,Mark Blundell,Tyrrell,1:18.237,,
14,12,Alessandro Zanardi,Team Lotus,1:18.331,,
15,3,Ukyo Katayama,Tyrrell,1:18.411,,
16,24,Michele Alboreto,Minardi,1:18.755,,
17,29,Jyrki Järvilehto,Sauber,1:18.806,,
18,23,Pierluigi Martini,Minardi,1:18.957,,
19,9,Christian Fittipaldi,Footwork,1:19.061,,
20,25,Franck Lagorce,Ligier,1:19.153,,
21,10,Gianni Morbidelli,Footwork,1:19.610,,
22,11,Mika Salo,Team Lotus,1:19.844,,
23,19,Hideki Noda,Larrousse,1:20.145,,
24,31,David Brabham,Simtek,1:20.442,,
25,20,Jean-Denis Délétraz,Larrousse,1:22.422,,
26,32,Domenico Schiattarella,Simtek,1:22.529,,
