position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:41.983,1:41.275,1:40.593
2,77,Valtteri Bottas,Mercedes,1:43.026,1:41.502,1:41.027
3,7,Kimi Räikkönen,Ferrari,1:42.678,1:42.090,1:41.693
4,5,Sebastian Vettel,Ferrari,1:42.952,1:41.911,1:41.841
5,33,Max Verstappen,Red Bull,1:42.544,1:41.961,1:41.879
6,11,Sergio Pérez,Force India,1:43.162,1:42.467,1:42.111
7,31,Esteban Ocon,Force India,1:43.051,1:42.751,1:42.186
8,18,Lance Stroll,Williams,1:43.613,1:42.284,1:42.753
9,19,Felipe Massa,Williams,1:43.165,1:42.735,1:42.798
10,3,Daniel Ricciardo,Red Bull,1:42.857,1:42.215,1:43.414
11,26,Daniil Kvyat,Toro Rosso,1:42.927,1:43.186,
12,55,Carlos Sainz,Toro Rosso,1:43.489,1:43.347,
13,20,Kevin Magnussen,Haas F1 Team,1:44.029,1:43.796,
14,27,Nico Hülkenberg,Renault,1:43.930,1:44.267,
15,94,Pascal Wehrlein,Sauber,1:44.317,1:44.603,
16,14,Fernando Alonso,McLaren,1:44.334,,
17,8,Romain Grosjean,Haas F1 Team,1:44.468,,
18,9,Marcus Ericsson,Sauber,1:44.795,,
19,2,Stoffel Vandoorne,McLaren,1:45.030,,
