position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:34.308,1:33.527,1:32.422
2,4,Lewis Hamilton,McLaren,1:34.813,1:33.209,1:32.520
3,2,Mark Webber,Red Bull,1:34.015,1:33.311,1:32.637
4,3,Jenson Button,McLaren,1:34.792,1:33.416,1:32.711
5,8,Nico Rosberg,Mercedes,1:34.588,1:33.219,1:32.821
6,16,Daniel Ricciardo,Toro Rosso,1:33.988,1:33.556,1:32.912
7,10,Romain Grosjean,Lotus F1,1:34.041,1:33.246,1:33.008
8,15,Sergio Pérez,Sauber,1:33.814,1:33.660,1:33.394
9,5,Fernando Alonso,Ferrari,1:34.760,1:33.403,
10,11,Paul di Resta,Force India,1:36.624,1:33.510,
11,9,Kimi Räikkönen,Lotus F1,1:34.552,1:33.789,
12,14,Kamui Kobayashi,Sauber,1:34.131,1:33.806,
13,12,Nico Hülkenberg,Force India,1:34.601,1:33.807,
14,6,Felipe Massa,Ferrari,1:34.372,1:33.912,
15,19,Bruno Senna,Williams,1:34.466,1:34.017,
16,20,Heikki Kovalainen,Caterham,1:34.852,1:36.132,
17,18,Pastor Maldonado,Williams,1:34.639,,
18,7,Michael Schumacher,Mercedes,1:34.865,,
19,17,Jean-Éric Vergne,Toro Rosso,1:35.014,,
20,21,Vitaly Petrov,Caterham,1:35.823,,
21,25,Charles Pic,Marussia,1:37.683,,
22,22,Pedro de la Rosa,HRT,1:37.883,,
23,24,Timo Glock,Marussia,1:37.905,,
24,23,Narain Karthikeyan,HRT,1:38.314,,
