Position,Driver,Constructor,Points,Wins
1,Jean Behra,Maserati,6,0
2,Juan Fangio,Ferrari,5,1
3,Luigi Musso,Ferrari,4,1
4,Mike Hawthorn,Maserati,4,0
5,Olivier Gendebien,Ferrari,2,0
6,Gerino Gerini,Maserati,1.5,0
7,Chico Landi,Maserati,1.5,0
8,Óscar González,Maserati,0,0
9,Alberto Uria,Maserati,0,0
10,Stirling Moss,Maserati,0,0
11,Peter Collins,Ferrari,0,0
12,Luigi Piotti,Maserati,0,0
13,Carlos Menditeguy,Maserati,0,0
14,Eugenio Castellotti,Ferrari,0,0
15,José Froilán González,Maserati,0,0
