position,number,driver,constructor,Q1,Q2,Q3
1,1,Fernando Alonso,McLaren,1:20.425,1:19.661,1:19.674
2,2,Lewis Hamilton,McLaren,1:19.570,1:19.301,1:19.781
3,9,Nick Heidfeld,BMW Sauber,1:20.751,1:20.322,1:20.259
4,6,Kimi Räikkönen,Ferrari,1:20.435,1:20.107,1:20.410
5,16,Nico Rosberg,Williams,1:20.547,1:20.188,1:20.632
6,11,Ralf Schumacher,Toyota,1:20.449,1:20.455,1:20.714
7,10,Robert Kubica,BMW Sauber,1:20.366,1:20.703,1:20.876
8,3,Giancarlo Fisichella,Renault,1:21.645,1:20.590,1:21.079
9,12,Jarno Trulli,Toyota,1:20.481,1:19.951,1:21.206
10,15,Mark Webber,Red Bull,1:20.794,1:20.439,1:21.256
11,14,David Coulthard,Red Bull,1:21.291,1:20.718,
12,4,Heikki Kovalainen,Renault,1:20.285,1:20.779,
13,17,Alexander Wurz,Williams,1:21.243,1:20.865,
14,5,Felipe Massa,Ferrari,1:20.408,1:21.021,
15,23,Anthony Davidson,Super Aguri,1:21.018,1:21.127,
16,18,Vitantonio Liuzzi,Toro Rosso,1:21.730,1:21.993,
17,7,Jenson Button,Honda,1:21.737,,
18,8,Rubens Barrichello,Honda,1:21.877,,
19,22,Takuma Sato,Super Aguri,1:22.143,,
20,19,Sebastian Vettel,Toro Rosso,1:22.177,,
21,20,Adrian Sutil,Spyker,1:22.737,,
22,21,Sakon Yamamoto,Spyker,1:23.774,,
