position,number,driver,constructor,Q1,Q2,Q3
1,2,Mark Webber,Red Bull,1:33.096,1:31.311,1:30.079
2,3,Lewis Hamilton,McLaren,1:32.934,1:30.998,1:30.134
3,1,Sebastian Vettel,Red Bull,1:32.973,1:31.017,1:30.216
4,5,Fernando Alonso,Ferrari,1:32.916,1:31.150,1:30.442
5,6,Felipe Massa,Ferrari,1:31.826,1:31.582,1:30.910
6,8,Nico Rosberg,Mercedes,1:32.785,1:31.343,1:31.263
7,4,Jenson Button,McLaren,1:33.224,1:31.532,1:31.288
8,14,Adrian Sutil,Force India,1:32.286,1:31.809,1:32.010
9,10,Vitaly Petrov,Renault,1:33.187,1:31.985,1:32.187
10,7,Michael Schumacher,Mercedes,1:32.603,1:32.180,1:32.482
11,9,Nick Heidfeld,Renault,1:32.505,1:32.215,
12,15,Paul di Resta,Force India,1:32.651,1:32.560,
13,12,Pastor Maldonado,Williams,1:33.003,1:32.635,
14,11,Rubens Barrichello,Williams,1:33.664,1:33.043,
15,17,Sergio Pérez,Sauber,1:33.295,1:33.176,
16,18,Sébastien Buemi,Toro Rosso,1:33.635,1:33.546,
17,19,Jaime Alguersuari,Toro Rosso,1:33.658,1:33.698,
18,16,Kamui Kobayashi,Sauber,1:33.786,,
19,20,Heikki Kovalainen,Lotus,1:35.599,,
20,24,Timo Glock,Virgin,1:36.400,,
21,21,Karun Chandhok,Lotus,1:36.422,,
22,25,Jérôme d'Ambrosio,Virgin,1:36.641,,
23,23,Vitantonio Liuzzi,HRT,1:37.011,,
24,22,Daniel Ricciardo,HRT,1:37.036,,
