position,number,driver,constructor,Q1,Q2,Q3
1,33,Max Verstappen,Red Bull,1:31.001,1:31.080,1:29.990
2,44,Lewis Hamilton,Mercedes,1:31.237,1:30.788,1:30.248
3,77,Valtteri Bottas,Mercedes,1:31.669,1:30.735,1:30.376
4,11,Sergio Pérez,Red Bull,1:31.560,1:30.971,1:30.445
5,55,Carlos Sainz,Ferrari,1:32.079,1:31.146,1:30.840
6,10,Pierre Gasly,AlphaTauri,1:31.898,1:31.353,1:30.868
7,16,Charles Leclerc,Ferrari,1:32.209,1:31.567,1:30.987
8,4,Lando Norris,McLaren,1:31.733,1:31.542,1:31.252
9,14,Fernando Alonso,Alpine F1 Team,1:32.158,1:31.549,1:31.340
10,3,Daniel Ricciardo,McLaren,1:32.181,1:31.615,1:31.382
11,31,Esteban Ocon,Alpine F1 Team,1:32.139,1:31.736,
12,5,Sebastian Vettel,Aston Martin,1:32.132,1:31.767,
13,99,Antonio Giovinazzi,Alfa Romeo,1:32.722,1:31.813,
14,63,George Russell,Williams,1:33.060,1:32.065,
15,47,Mick Schumacher,Haas F1 Team,1:32.942,,
16,6,Nicholas Latifi,Williams,1:33.062,,
17,7,Kimi Räikkönen,Alfa Romeo,1:33.354,,
18,9,Nikita Mazepin,Haas F1 Team,1:33.554,,
19,18,Lance Stroll,Aston Martin,,,
20,22,Yuki Tsunoda,AlphaTauri,,,
