position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:19.447,1:19.137,1:18.704
2,6,Nico Rosberg,Mercedes,1:19.996,1:19.761,1:18.958
3,33,Max Verstappen,Red Bull,1:19.874,1:18.972,1:19.054
4,3,Daniel Ricciardo,Red Bull,1:19.713,1:19.553,1:19.133
5,27,Nico Hülkenberg,Force India,1:20.599,1:19.769,1:19.330
6,7,Kimi Räikkönen,Ferrari,1:19.554,1:19.936,1:19.376
7,5,Sebastian Vettel,Ferrari,1:19.865,1:19.385,1:19.381
8,77,Valtteri Bottas,Williams,1:20.338,1:19.958,1:19.551
9,19,Felipe Massa,Williams,1:20.423,1:20.151,1:20.032
10,55,Carlos Sainz,Toro Rosso,1:20.457,1:20.169,1:20.378
11,14,Fernando Alonso,McLaren,1:20.552,1:20.282,
12,11,Sergio Pérez,Force India,1:20.308,1:20.287,
13,22,Jenson Button,McLaren,1:21.333,1:20.673,
14,20,Kevin Magnussen,Renault,1:21.254,1:21.131,
15,9,Marcus Ericsson,Sauber,1:21.062,1:21.536,
16,94,Pascal Wehrlein,Manor Marussia,1:21.363,1:21.785,
17,21,Esteban Gutiérrez,Haas F1 Team,1:21.401,,
18,26,Daniil Kvyat,Toro Rosso,1:21.454,,
19,12,Felipe Nasr,Sauber,1:21.692,,
20,31,Esteban Ocon,Manor Marussia,1:21.881,,
21,8,Romain Grosjean,Haas F1 Team,1:21.916,,
