Position,Driver,Constructor,Points,Wins
1,Jack Brabham,Cooper-Climax,40,5
2,Bruce McLaren,Cooper-Climax,33,1
3,Innes Ireland,Team Lotus,12,0
4,Stirling Moss,Cooper-Climax,11,1
5,Olivier Gendebien,Cooper-Climax,10,0
6,Jim Rathmann,Watson,8,1
7,Jim Clark,Team Lotus,8,0
8,Wolfgang von Trips,Ferrari,8,0
9,Phil Hill,Ferrari,7,0
10,Tony Brooks,Cooper-Climax,7,0
11,John Surtees,Team Lotus,6,0
12,Cliff Allison,Ferrari,6,0
13,Rodger Ward,Watson,6,0
14,Graham Hill,BRM,4,0
15,Paul Goldsmith,Epperly,4,0
16,Henry Taylor,Cooper-Climax,3,0
17,Don Branson,Phillips,3,0
18,Carlos Menditeguy,Cooper-Maserati,3,0
19,Jo Bonnier,BRM,2,0
20,Johnny Thomson,Lesovsky,2,0
21,Richie Ginther,Ferrari,2,0
22,Lucien Bianchi,Cooper-Climax,1,0
23,Ron Flockhart,Team Lotus,1,0
24,Eddie Johnson,Trevis,1,0
25,Maurice Trintignant,Cooper-Climax,0,0
26,Lloyd Ruby,Watson,0,0
27,Bruce Halford,Cooper-Climax,0,0
28,Carel Godin de Beaufort,Cooper-Climax,0,0
29,Bob Veith,Meskowski,0,0
30,Masten Gregory,Behra-Porsche,0,0
