Position,Driver,Constructor,Points,Wins
1,Nigel Mansell,Williams,56,5
2,Riccardo Patrese,Williams,28,0
3,Michael Schumacher,Benetton,26,0
4,Ayrton Senna,McLaren,18,1
5,Gerhard Berger,McLaren,18,1
6,Jean Alesi,Ferrari,11,0
7,Martin Brundle,Benetton,5,0
8,Michele Alboreto,Footwork,5,0
9,Andrea de Cesaris,Tyrrell,4,0
10,Karl Wendlinger,March,3,0
11,Ivan Capelli,Ferrari,2,0
12,Pierluigi Martini,Dallara,2,0
13,Érik Comas,Ligier,1,0
14,Johnny Herbert,Team Lotus,1,0
15,Mika Häkkinen,Team Lotus,1,0
16,Bertrand Gachot,Larrousse,1,0
17,Aguri Suzuki,Footwork,0,0
18,Maurício Gugelmin,Jordan,0,0
19,Gianni Morbidelli,Minardi,0,0
20,Jyrki Järvilehto,Dallara,0,0
21,Christian Fittipaldi,Minardi,0,0
22,Olivier Grouillard,Tyrrell,0,0
23,Ukyo Katayama,Larrousse,0,0
24,Thierry Boutsen,Ligier,0,0
25,Paul Belmondo,March,0,0
26,Eric van de Poele,Brabham,0,0
