position,number,driver,constructor,laps,grid,status,points
1,5,Felipe Massa,Ferrari,57,1,Finished,10
2,2,Lewis Hamilton,McLaren,57,2,Finished,8
3,6,Kimi Räikkönen,Ferrari,57,3,Finished,6
4,9,Nick Heidfeld,BMW Sauber,57,5,Finished,5
5,1,Fernando Alonso,McLaren,57,4,Finished,4
6,10,Robert Kubica,BMW Sauber,57,6,Finished,3
7,12,Jarno Trulli,Toyota,57,9,Finished,2
8,3,Giancarlo Fisichella,Renault,57,7,Finished,1
9,4,Heikki Kovalainen,Renault,57,12,Finished,0
10,16,Nico Rosberg,Williams,57,10,Finished,0
11,17,Alexander Wurz,Williams,56,11,+1 Lap,0
12,11,Ralf Schumacher,Toyota,56,14,+1 Lap,0
13,8,Rubens Barrichello,Honda,56,15,+1 Lap,0
14,21,Christijan Albers,Spyker,55,22,+2 Laps,0
15,20,Adrian Sutil,Spyker,53,20,+4 Laps,0
16,23,Anthony Davidson,Super Aguri,51,13,Engine,0
17,15,Mark Webber,Red Bull,41,8,Gearbox,0
18,14,David Coulthard,Red Bull,36,21,Driveshaft,0
19,22,Takuma Sato,Super Aguri,34,17,Engine,0
20,18,Vitantonio Liuzzi,Toro Rosso,26,18,Hydraulics,0
21,7,Jenson Button,Honda,0,16,Collision,0
22,19,Scott Speed,Toro Rosso,0,19,Collision,0
