position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:23.214,1:22.159,1:22.000
2,6,Nico Rosberg,Mercedes,1:23.002,1:22.759,1:22.280
3,3,Daniel Ricciardo,Red Bull,1:23.749,1:23.585,1:22.680
4,33,Max Verstappen,Red Bull,1:23.578,1:23.178,1:23.087
5,7,Kimi Räikkönen,Ferrari,1:23.796,1:23.504,1:23.113
6,5,Sebastian Vettel,Ferrari,1:24.124,1:23.688,1:23.334
7,77,Valtteri Bottas,Williams,1:24.251,1:24.023,1:23.522
8,55,Carlos Sainz,Toro Rosso,1:24.496,1:24.077,1:23.643
9,11,Sergio Pérez,Force India,1:24.698,1:24.003,1:23.782
10,14,Fernando Alonso,McLaren,1:24.578,1:24.192,1:23.981
11,27,Nico Hülkenberg,Force India,1:24.463,1:24.203,
12,22,Jenson Button,McLaren,1:24.583,1:24.348,
13,26,Daniil Kvyat,Toro Rosso,1:24.696,1:24.445,
14,8,Romain Grosjean,Haas F1 Team,1:24.716,1:24.480,
15,20,Kevin Magnussen,Renault,1:24.669,1:24.625,
16,21,Esteban Gutiérrez,Haas F1 Team,1:24.406,1:24.778,
17,30,Jolyon Palmer,Renault,1:24.903,,
18,19,Felipe Massa,Williams,1:24.941,,
19,9,Marcus Ericsson,Sauber,1:25.202,,
20,12,Felipe Nasr,Sauber,1:25.579,,
21,94,Pascal Wehrlein,Manor Marussia,1:25.745,,
22,88,Rio Haryanto,Manor Marussia,1:25.939,,
