position,number,driver,constructor,Q1,Q2,Q3
1,1,Fernando Alonso,McLaren,1:21.718,1:21.356,1:21.997
2,2,Lewis Hamilton,McLaren,1:21.956,1:21.746,1:22.034
3,5,Felipe Massa,Ferrari,1:22.309,1:21.993,1:22.549
4,9,Nick Heidfeld,BMW Sauber,1:23.107,1:22.466,1:23.174
5,6,Kimi Räikkönen,Ferrari,1:22.673,1:22.369,1:23.183
6,10,Robert Kubica,BMW Sauber,1:23.088,1:22.400,1:23.446
7,4,Heikki Kovalainen,Renault,1:23.505,1:23.134,1:24.102
8,16,Nico Rosberg,Williams,1:23.333,1:22.748,1:24.382
9,12,Jarno Trulli,Toyota,1:23.724,1:23.107,1:24.555
10,7,Jenson Button,Honda,1:23.639,1:23.021,1:25.165
11,15,Mark Webber,Red Bull,1:23.575,1:23.166,
12,8,Rubens Barrichello,Honda,1:23.474,1:23.176,
13,17,Alexander Wurz,Williams,1:23.739,1:23.209,
14,23,Anthony Davidson,Super Aguri,1:23.646,1:23.274,
15,3,Giancarlo Fisichella,Renault,1:23.559,1:23.325,
16,19,Sebastian Vettel,Toro Rosso,1:23.578,1:23.351,
17,22,Takuma Sato,Super Aguri,1:23.749,,
18,11,Ralf Schumacher,Toyota,1:23.787,,
19,18,Vitantonio Liuzzi,Toro Rosso,1:23.886,,
20,14,David Coulthard,Red Bull,1:24.019,,
21,20,Adrian Sutil,Spyker,1:24.699,,
22,21,Sakon Yamamoto,Spyker,1:25.084,,
