position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:38.683,1:37.569,1:37.202
2,10,Lewis Hamilton,Mercedes,1:38.574,1:37.824,1:37.420
3,2,Mark Webber,Red Bull,1:39.138,1:37.840,1:37.464
4,8,Romain Grosjean,Lotus F1,1:39.065,1:38.076,1:37.531
5,9,Nico Rosberg,Mercedes,1:38.418,1:38.031,1:37.679
6,3,Fernando Alonso,Ferrari,1:38.520,1:37.978,1:38.038
7,4,Felipe Massa,Ferrari,1:38.884,1:38.295,1:38.223
8,11,Nico Hülkenberg,Sauber,1:38.427,1:37.913,1:38.237
9,12,Esteban Gutiérrez,Sauber,1:38.725,1:38.327,1:38.405
10,7,Kimi Räikkönen,Lotus F1,1:38.341,1:38.181,1:38.822
11,6,Sergio Pérez,McLaren,1:39.049,1:38.362,
12,5,Jenson Button,McLaren,1:38.882,1:38.365,
13,19,Daniel Ricciardo,Toro Rosso,1:38.525,1:38.417,
14,15,Adrian Sutil,Force India,1:38.988,1:38.431,
15,14,Paul di Resta,Force India,1:39.185,1:38.718,
16,18,Jean-Éric Vergne,Toro Rosso,1:39.075,1:38.781,
17,17,Valtteri Bottas,Williams,1:39.470,,
18,16,Pastor Maldonado,Williams,1:39.987,,
19,20,Charles Pic,Caterham,1:40.864,,
20,21,Giedo van der Garde,Caterham,1:40.871,,
21,22,Jules Bianchi,Marussia,1:41.169,,
22,23,Max Chilton,Marussia,1:41.322,,
