position,number,driver,constructor,laps,grid,status,points
1,44,Lewis Hamilton,Mercedes,66,2,Finished,25
2,33,Max Verstappen,Red Bull,66,3,Finished,18
3,77,Valtteri Bottas,Mercedes,66,1,Finished,16
4,11,Sergio Pérez,Red Bull,66,4,Finished,12
5,4,Lando Norris,McLaren,66,7,Finished,10
6,16,Charles Leclerc,Ferrari,66,8,Finished,8
7,31,Esteban Ocon,Alpine F1 Team,66,6,Finished,6
8,14,Fernando Alonso,Alpine F1 Team,66,13,Finished,4
9,3,Daniel Ricciardo,McLaren,66,16,Finished,2
10,10,Pierre Gasly,AlphaTauri,66,9,Finished,1
11,55,Carlos Sainz,Ferrari,66,5,Finished,0
12,99,Antonio Giovinazzi,Alfa Romeo,65,12,+1 Lap,0
13,5,Sebastian Vettel,Aston Martin,65,10,+1 Lap,0
14,18,Lance Stroll,Aston Martin,65,17,+1 Lap,0
15,22,Yuki Tsunoda,AlphaTauri,65,14,+1 Lap,0
16,63,George Russell,Williams,65,11,+1 Lap,0
17,47,Mick Schumacher,Haas F1 Team,64,19,+2 Laps,0
18,6,Nicholas Latifi,Williams,64,18,+2 Laps,0
19,9,Nikita Mazepin,Haas F1 Team,64,20,+2 Laps,0
20,7,Kimi Räikkönen,Alfa Romeo,1,15,Collision damage,0
