position,number,driver,constructor,Q1,Q2,Q3
1,5,Felipe Massa,Ferrari,1:15.303,1:14.822,1:15.034
2,2,Lewis Hamilton,McLaren,1:14.805,1:14.795,1:15.104
3,6,Kimi Räikkönen,Ferrari,1:14.872,1:14.828,1:15.257
4,10,Robert Kubica,BMW Sauber,1:15.778,1:15.066,1:15.493
5,3,Giancarlo Fisichella,Renault,1:16.047,1:15.227,1:15.674
6,4,Heikki Kovalainen,Renault,1:15.524,1:15.272,1:15.826
7,9,Nick Heidfeld,BMW Sauber,1:15.783,1:15.149,1:15.900
8,12,Jarno Trulli,Toyota,1:16.118,1:15.379,1:15.935
9,16,Nico Rosberg,Williams,1:16.092,1:15.331,1:16.328
10,1,Fernando Alonso,McLaren,1:15.322,1:15.084,
11,11,Ralf Schumacher,Toyota,1:15.760,1:15.534,
12,7,Jenson Button,Honda,1:16.113,1:15.584,
13,8,Rubens Barrichello,Honda,1:16.140,1:15.761,
14,15,Mark Webber,Red Bull,1:15.746,1:15.806,
15,19,Scott Speed,Toro Rosso,1:15.980,1:16.049,
16,14,David Coulthard,Red Bull,1:15.915,,
17,18,Vitantonio Liuzzi,Toro Rosso,1:16.142,,
18,17,Alexander Wurz,Williams,1:16.241,,
19,23,Anthony Davidson,Super Aguri,1:16.366,,
20,21,Christijan Albers,Spyker,1:17.826,,
21,20,Adrian Sutil,Spyker,1:17.915,,
22,22,Takuma Sato,Super Aguri,1:16.244,,
