Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,72,3
2,Jody Scheckter,Wolf,55,3
3,Mario Andretti,Team Lotus,47,4
4,Carlos Reutemann,Ferrari,42,1
5,James Hunt,McLaren,40,3
6,Jochen Mass,McLaren,25,0
7,Alan Jones,Shadow,22,1
8,Gunnar Nilsson,Team Lotus,20,1
9,Patrick Depailler,Tyrrell,20,0
10,Jacques Laffite,Ligier,18,1
11,Hans-Joachim Stuck,March,12,0
12,Emerson Fittipaldi,Fittipaldi,11,0
13,John Watson,Brabham,9,0
14,Ronnie Peterson,Tyrrell,7,0
15,Carlos Pace,Brabham,6,0
16,Vittorio Brambilla,Surtees,6,0
17,Clay Regazzoni,Ensign,5,0
18,Patrick Tambay,Surtees,5,0
19,Jean-Pierre Jarier,Penske,1,0
20,Riccardo Patrese,Shadow,1,0
21,Renzo Zorzi,Shadow,1,0
22,Rupert Keegan,Hesketh,0,0
23,Patrick Nève,March,0,0
24,Vern Schuppan,Surtees,0,0
25,Ingo Hoffmann,Fittipaldi,0,0
26,Danny Ongais,Penske,0,0
27,Alex Ribeiro,March,0,0
28,Hans Binder,Surtees,0,0
29,Brett Lunger,March,0,0
30,Harald Ertl,Hesketh,0,0
