position,number,driver,constructor,laps,grid,status,points
1,2,John Surtees,Ferrari,78,1,Finished,9
2,26,Bruce McLaren,Cooper-Climax,78,5,Finished,6
3,4,Lorenzo Bandini,Ferrari,77,7,+1 Lap,4
4,20,Richie Ginther,BRM,77,9,+1 Lap,3
5,46,Innes Ireland,BRP,77,13,+1 Lap,2
6,10,Mike Spence,Lotus-Climax,77,8,+1 Lap,1
7,12,Jo Siffert,Brabham-BRM,77,6,+1 Lap,0
8,30,Giancarlo Baghetti,BRM,77,15,+1 Lap,0
9,6,Ludovico Scarfiotti,Ferrari,77,16,+1 Lap,0
10,16,Dan Gurney,Brabham-Climax,75,2,+3 Laps,0
11,22,Bob Anderson,Brabham-Climax,75,14,+3 Laps,0
12,34,Jo Bonnier,Brabham-Climax,74,12,+4 Laps,0
13,38,Peter Revson,Lotus-BRM,72,18,+6 Laps,0
14,14,Jack Brabham,Brabham-Climax,59,11,Engine,0
15,8,Jim Clark,Lotus-Climax,28,4,Engine,0
16,50,Mário de Araújo Cabral,Derrington,25,19,Ignition,0
17,48,Maurice Trintignant,BRM,22,21,Injection,0
18,28,Ronnie Bucknum,Honda,13,10,Brakes,0
19,40,Mike Hailwood,Lotus-BRM,5,17,Engine,0
20,18,Graham Hill,BRM,0,3,Clutch,0
21,44,Trevor Taylor,BRP,0,0,Did not qualify,0
22,36,Giacomo Russo,Brabham-BRM,0,0,Did not qualify,0
23,24,John Love,Cooper-Climax,0,0,Did not qualify,0
24,56,Ian Raby,Brabham-BRM,0,0,Did not qualify,0
