round,raceName,date,time,circuit,country
1,United States Grand Prix,1990-03-11,,Phoenix street circuit,USA
2,Brazilian Grand Prix,1990-03-25,,Autódromo José Carlos Pace,Brazil
3,San Marino Grand Prix,1990-05-13,,Autodromo Enzo e Dino Ferrari,Italy
4,Monaco Grand Prix,1990-05-27,,Circuit de Monaco,Monaco
5,Canadian Grand Prix,1990-06-10,,Circuit Gilles Villeneuve,Canada
6,Mexican Grand Prix,1990-06-24,,Autódromo Hermanos Rodríguez,Mexico
7,French Grand Prix,1990-07-08,,Circuit Paul Ricard,France
8,British Grand Prix,1990-07-15,,Silverstone Circuit,UK
9,German Grand Prix,1990-07-29,,Hockenheimring,Germany
10,Hungarian Grand Prix,1990-08-12,,Hungaroring,Hungary
11,Belgian Grand Prix,1990-08-26,,Circuit de Spa-Francorchamps,Belgium
12,Italian Grand Prix,1990-09-09,,Autodromo Nazionale di Monza,Italy
13,Portuguese Grand Prix,1990-09-23,,Autódromo do Estoril,Portugal
14,Spanish Grand Prix,1990-09-30,,Circuito de Jerez,Spain
15,Japanese Grand Prix,1990-10-21,,Suzuka Circuit,Japan
16,Australian Grand Prix,1990-11-04,,Adelaide Street Circuit,Australia
