position,number,driver,constructor,laps,grid,status,points
1,0,Damon Hill,Williams,77,2,Finished,10
2,6,Riccardo Patrese,Benetton,77,5,Finished,6
3,28,Gerhard Berger,Ferrari,77,6,Finished,4
4,9,Derek Warwick,Footwork,76,9,+1 Lap,3
5,25,Martin Brundle,Ligier,76,13,+1 Lap,2
6,29,Karl Wendlinger,Sauber,76,17,+1 Lap,1
7,26,Mark Blundell,Ligier,76,12,+1 Lap,0
8,19,Philippe Alliot,Larrousse,75,19,+2 Laps,0
9,15,Thierry Boutsen,Jordan,75,24,+2 Laps,0
10,3,Ukyo Katayama,Tyrrell,73,23,+4 Laps,0
11,4,Andrea de Cesaris,Tyrrell,72,22,+5 Laps,0
12,2,Alain Prost,Williams,70,1,+7 Laps,0
13,24,Pierluigi Martini,Minardi,59,7,Accident,0
14,20,Érik Comas,Larrousse,54,18,Engine,0
15,11,Alessandro Zanardi,Team Lotus,45,21,Gearbox,0
16,10,Aguri Suzuki,Footwork,41,10,Spun off,0
17,21,Michele Alboreto,Lola,39,25,Overheating,0
18,12,Johnny Herbert,Team Lotus,38,20,Spun off,0
19,22,Luca Badoer,Lola,37,26,Spun off,0
20,5,Michael Schumacher,Benetton,26,3,Fuel pump,0
21,23,Christian Fittipaldi,Minardi,22,14,Suspension,0
22,27,Jean Alesi,Ferrari,22,8,Spun off,0
23,30,Jyrki Järvilehto,Sauber,18,15,Engine,0
24,8,Ayrton Senna,McLaren,17,4,Throttle,0
25,7,Michael Andretti,McLaren,15,11,Throttle,0
26,14,Rubens Barrichello,Jordan,0,16,Accident,0
