position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:14.823,1:14.817,1:14.411
2,11,Sergio Pérez,Red Bull,1:15.395,1:14.716,1:14.446
3,33,Max Verstappen,Red Bull,1:15.109,1:14.884,1:14.498
4,16,Charles Leclerc,Ferrari,1:15.413,1:14.808,1:14.740
5,10,Pierre Gasly,AlphaTauri,1:15.548,1:14.927,1:14.790
6,3,Daniel Ricciardo,McLaren,1:15.669,1:15.033,1:14.826
7,4,Lando Norris,McLaren,1:15.009,1:14.718,1:14.875
8,77,Valtteri Bottas,Mercedes,1:14.672,1:14.905,1:14.898
9,31,Esteban Ocon,Alpine F1 Team,1:15.385,1:15.117,1:15.210
10,18,Lance Stroll,Aston Martin,1:15.522,1:15.138,
11,55,Carlos Sainz,Ferrari,1:15.406,1:15.199,
12,63,George Russell,Williams,1:15.826,1:15.261,
13,5,Sebastian Vettel,Aston Martin,1:15.459,1:15.394,
14,6,Nicholas Latifi,Williams,1:15.653,1:15.593,
15,14,Fernando Alonso,Alpine F1 Team,1:15.832,1:15.593,
16,7,Kimi Räikkönen,Alfa Romeo,1:15.974,,
17,99,Antonio Giovinazzi,Alfa Romeo,1:16.122,,
18,47,Mick Schumacher,Haas F1 Team,1:16.279,,
19,9,Nikita Mazepin,Haas F1 Team,1:16.797,,
20,22,Yuki Tsunoda,AlphaTauri,,,
