round,raceName,date,time,circuit,country
1,Monaco Grand Prix,1963-05-26,,Circuit de Monaco,Monaco
2,Belgian Grand Prix,1963-06-09,,Circuit de Spa-Francorchamps,Belgium
3,Dutch Grand Prix,1963-06-23,,Circuit Park Zandvoort,Netherlands
4,French Grand Prix,1963-06-30,,Reims-Gueux,France
5,British Grand Prix,1963-07-20,,Silverstone Circuit,UK
6,German Grand Prix,1963-08-04,,Nürburgring,Germany
7,Italian Grand Prix,1963-09-08,,Autodromo Nazionale di Monza,Italy
8,United States Grand Prix,1963-10-06,,Watkins Glen,USA
9,Mexican Grand Prix,1963-10-27,,Autódromo Hermanos Rodríguez,Mexico
10,South African Grand Prix,1963-12-28,,Prince George Circuit,South Africa
