round,raceName,date,time,circuit,country
1,Australian Grand Prix,1999-03-07,,Albert Park Grand Prix Circuit,Australia
2,Brazilian Grand Prix,1999-04-11,,Autódromo José Carlos Pace,Brazil
3,San Marino Grand Prix,1999-05-02,,Autodromo Enzo e Dino Ferrari,Italy
4,Monaco Grand Prix,1999-05-16,,Circuit de Monaco,Monaco
5,Spanish Grand Prix,1999-05-30,,Circuit de Barcelona-Catalunya,Spain
6,Canadian Grand Prix,1999-06-13,,Circuit Gilles Villeneuve,Canada
7,French Grand Prix,1999-06-27,,Circuit de Nevers Magny-Cours,France
8,British Grand Prix,1999-07-11,,Silverstone Circuit,UK
9,Austrian Grand Prix,1999-07-25,,Red Bull Ring,Austria
10,German Grand Prix,1999-08-01,,Hockenheimring,Germany
11,Hungarian Grand Prix,1999-08-15,,Hungaroring,Hungary
12,Belgian Grand Prix,1999-08-29,,Circuit de Spa-Francorchamps,Belgium
13,Italian Grand Prix,1999-09-12,,Autodromo Nazionale di Monza,Italy
14,European Grand Prix,1999-09-26,,Nürburgring,Germany
15,Malaysian Grand Prix,1999-10-17,,Sepang International Circuit,Malaysia
16,Japanese Grand Prix,1999-10-31,,Suzuka Circuit,Japan
