position,number,driver,constructor,Q1,Q2,Q3
1,6,Nico Rosberg,Mercedes,1:41.308,1:41.459,1:40.480
2,44,Lewis Hamilton,Mercedes,1:41.207,1:40.920,1:40.866
3,77,Valtteri Bottas,Williams,1:42.346,1:41.376,1:41.025
4,19,Felipe Massa,Williams,1:41.475,1:41.144,1:41.119
5,26,Daniil Kvyat,Toro Rosso,1:42.302,1:42.082,1:41.908
6,22,Jenson Button,McLaren,1:42.137,1:41.875,1:41.964
7,7,Kimi Räikkönen,Ferrari,1:42.439,1:42.168,1:42.236
8,14,Fernando Alonso,Ferrari,1:42.467,1:41.940,1:42.866
9,20,Kevin Magnussen,McLaren,1:42.104,1:42.198,
10,25,Jean-Éric Vergne,Toro Rosso,1:42.413,1:42.207,
11,11,Sergio Pérez,Force India,1:42.654,1:42.239,
12,27,Nico Hülkenberg,Force India,1:42.444,1:42.384,
13,99,Adrian Sutil,Sauber,1:42.746,1:43.074,
14,8,Romain Grosjean,Lotus F1,1:42.768,,
15,21,Esteban Gutiérrez,Sauber,1:42.819,,
16,13,Pastor Maldonado,Lotus F1,1:42.860,,
17,10,Kamui Kobayashi,Caterham,1:44.540,,
18,46,Will Stevens,Caterham,1:45.095,,
