Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,109,2
2,Jenson Button,McLaren,106,2
3,Mark Webber,Red Bull,103,2
4,Fernando Alonso,Ferrari,94,1
5,Sebastian Vettel,Red Bull,90,1
6,Nico Rosberg,Mercedes,74,0
7,Robert Kubica,Renault,73,0
8,Felipe Massa,Ferrari,67,0
9,Michael Schumacher,Mercedes,34,0
10,Adrian Sutil,Force India,23,0
11,Vitantonio Liuzzi,Force India,12,0
12,Rubens Barrichello,Williams,7,0
13,Vitaly Petrov,Renault,6,0
14,Sébastien Buemi,Toro Rosso,5,0
15,Jaime Alguersuari,Toro Rosso,3,0
16,Kamui Kobayashi,Sauber,1,0
17,Nico Hülkenberg,Williams,1,0
18,Pedro de la Rosa,Sauber,0,0
19,Heikki Kovalainen,Lotus,0,0
20,Karun Chandhok,HRT,0,0
21,Lucas di Grassi,Virgin,0,0
22,Jarno Trulli,Lotus,0,0
23,Bruno Senna,HRT,0,0
24,Timo Glock,Virgin,0,0
