position,number,driver,constructor,Q1,Q2,Q3
1,2,Lewis Hamilton,McLaren,1:15.889,1:15.528,1:15.105
2,6,Mark Webber,Red Bull,1:16.423,1:15.692,1:15.373
3,5,Sebastian Vettel,Red Bull,1:16.129,1:15.556,1:15.420
4,8,Fernando Alonso,Ferrari,1:16.171,1:15.597,1:15.435
5,1,Jenson Button,McLaren,1:16.371,1:15.742,1:15.520
6,15,Vitantonio Liuzzi,Force India,1:17.086,1:16.171,1:15.648
7,7,Felipe Massa,Ferrari,1:16.673,1:16.314,1:15.688
8,11,Robert Kubica,Renault,1:16.370,1:15.682,1:15.715
9,14,Adrian Sutil,Force India,1:16.495,1:16.295,1:15.881
10,4,Nico Rosberg,Mercedes,1:16.350,1:16.001,1:16.071
11,9,Rubens Barrichello,Williams,1:16.880,1:16.434,
12,10,Nico Hülkenberg,Williams,1:16.770,1:16.438,
13,3,Michael Schumacher,Mercedes,1:16.598,1:16.492,
14,12,Vitaly Petrov,Renault,1:16.569,1:16.844,
15,16,Sébastien Buemi,Toro Rosso,1:17.356,1:16.928,
16,17,Jaime Alguersuari,Toro Rosso,1:17.027,1:17.029,
17,22,Pedro de la Rosa,Sauber,1:17.611,1:17.384,
18,23,Kamui Kobayashi,Sauber,1:18.019,,
19,19,Heikki Kovalainen,Lotus,1:18.237,,
20,18,Jarno Trulli,Lotus,1:18.698,,
21,24,Timo Glock,Virgin,1:18.941,,
22,21,Bruno Senna,HRT,1:19.484,,
23,25,Lucas di Grassi,Virgin,1:19.675,,
24,20,Karun Chandhok,HRT,1:27.757,,
