position,number,driver,constructor,Q1,Q2,Q3
1,2,Felipe Massa,Ferrari,1:15.190,1:15.110,1:15.787
2,1,Kimi Räikkönen,Ferrari,1:15.717,1:15.404,1:15.815
3,22,Lewis Hamilton,McLaren,1:15.582,1:15.322,1:15.839
4,23,Heikki Kovalainen,McLaren,1:15.295,1:15.389,1:16.165
5,4,Robert Kubica,BMW Sauber,1:15.977,1:15.483,1:16.171
6,7,Nico Rosberg,Williams,1:15.935,1:15.287,1:16.548
7,5,Fernando Alonso,Renault,1:16.646,1:15.827,1:16.852
8,11,Jarno Trulli,Toyota,1:16.306,1:15.598,1:17.203
9,10,Mark Webber,Red Bull,1:16.074,1:15.745,1:17.343
10,9,David Coulthard,Red Bull,1:16.086,1:15.839,
11,12,Timo Glock,Toyota,1:16.285,1:15.907,
12,16,Jenson Button,Honda,1:16.259,1:16.101,
13,3,Nick Heidfeld,BMW Sauber,1:16.650,1:16.455,
14,8,Kazuki Nakajima,Williams,1:16.756,1:16.479,
15,17,Rubens Barrichello,Honda,1:16.208,1:16.537,
16,14,Sébastien Bourdais,Toro Rosso,1:16.806,,
17,6,Nelson Piquet Jr.,Renault,1:16.933,,
18,15,Sebastian Vettel,Toro Rosso,1:16.955,,
19,20,Adrian Sutil,Force India,1:17.225,,
20,21,Giancarlo Fisichella,Force India,1:17.823,,
