position,number,driver,constructor,Q1,Q2,Q3
1,5,Felipe Massa,Ferrari,1:12.303,1:12.374,1:11.931
2,2,Lewis Hamilton,McLaren,1:13.033,1:12.296,1:12.082
3,6,Kimi Räikkönen,Ferrari,1:13.016,1:12.161,1:12.322
4,1,Fernando Alonso,McLaren,1:12.895,1:12.637,1:12.356
5,15,Mark Webber,Red Bull,1:13.081,1:12.683,1:12.928
6,9,Nick Heidfeld,BMW Sauber,1:13.472,1:12.888,1:13.081
7,10,Robert Kubica,BMW Sauber,1:13.085,1:12.641,1:13.129
8,12,Jarno Trulli,Toyota,1:13.470,1:12.832,1:13.195
9,14,David Coulthard,Red Bull,1:13.264,1:12.846,1:13.272
10,16,Nico Rosberg,Williams,1:13.707,1:12.752,1:13.477
11,8,Rubens Barrichello,Honda,1:13.661,1:12.932,
12,3,Giancarlo Fisichella,Renault,1:13.482,1:12.968,
13,19,Sebastian Vettel,Toro Rosso,1:13.853,1:13.058,
14,18,Vitantonio Liuzzi,Toro Rosso,1:13.607,1:13.251,
15,11,Ralf Schumacher,Toyota,1:13.767,1:13.315,
16,7,Jenson Button,Honda,1:14.054,1:13.469,
17,4,Heikki Kovalainen,Renault,1:14.078,,
18,22,Takuma Sato,Super Aguri,1:14.098,,
19,17,Kazuki Nakajima,Williams,1:14.417,,
20,23,Anthony Davidson,Super Aguri,1:14.596,,
21,20,Adrian Sutil,Spyker,1:15.217,,
22,21,Sakon Yamamoto,Spyker,1:15.487,,
