Position,Driver,Constructor,Points,Wins
1,Jacques Villeneuve,Williams,20,2
2,Michael Schumacher,Ferrari,14,0
3,Heinz-Harald Frentzen,Williams,10,1
4,David Coulthard,McLaren,10,1
5,Eddie Irvine,Ferrari,10,0
6,Gerhard Berger,Benetton,10,0
7,Mika Häkkinen,McLaren,10,0
8,Olivier Panis,Prost,6,0
9,Ralf Schumacher,Jordan,4,0
10,Johnny Herbert,Sauber,3,0
11,Giancarlo Fisichella,Jordan,3,0
12,Jean Alesi,Benetton,3,0
13,Nicola Larini,Sauber,1,0
14,Shinji Nakano,Prost,0,0
15,Mika Salo,Tyrrell,0,0
16,Jarno Trulli,Minardi,0,0
17,Jos Verstappen,Tyrrell,0,0
18,Pedro Diniz,Arrows,0,0
19,Jan Magnussen,Stewart,0,0
20,Ukyo Katayama,Minardi,0,0
21,Damon Hill,Arrows,0,0
