position,number,driver,constructor,Q1,Q2,Q3
1,3,Jacques Villeneuve,Williams,1:23.303,,
2,4,Heinz-Harald Frentzen,Williams,1:23.646,,
3,5,Michael Schumacher,Ferrari,1:23.955,,
4,14,Olivier Panis,Prost,1:24.075,,
5,11,Ralf Schumacher,Jordan,1:24.081,,
6,12,Giancarlo Fisichella,Jordan,1:24.596,,
7,16,Johnny Herbert,Sauber,1:24.723,,
8,9,Mika Häkkinen,McLaren,1:24.812,,
9,6,Eddie Irvine,Ferrari,1:24.862,,
10,10,David Coulthard,McLaren,1:25.077,,
11,8,Gerhard Berger,Benetton,1:25.371,,
12,17,Nicola Larini,Sauber,1:25.554,,
13,22,Rubens Barrichello,Stewart,1:25.579,,
14,7,Jean Alesi,Benetton,1:25.729,,
15,1,Damon Hill,Arrows,1:25.743,,
16,23,Jan Magnussen,Stewart,1:26.192,,
17,2,Pedro Diniz,Arrows,1:26.253,,
18,15,Shinji Nakano,Prost,1:26.712,,
19,19,Mika Salo,Tyrrell,1:26.852,,
20,21,Jarno Trulli,Minardi,1:26.960,,
21,18,Jos Verstappen,Tyrrell,1:27.428,,
22,20,Ukyo Katayama,Minardi,1:28.727,,
