position,number,driver,constructor,Q1,Q2,Q3
1,9,Kimi Räikkönen,McLaren,1:14.819,1:16.602,
2,7,Mark Webber,Williams,1:15.042,1:16.626,
3,5,Fernando Alonso,Renault,1:14.811,1:16.880,
4,17,Ralf Schumacher,Toyota,1:14.870,1:17.047,
5,16,Jarno Trulli,Toyota,1:14.795,1:17.200,
6,6,Giancarlo Fisichella,Renault,1:15.601,1:17.229,
7,10,Juan Pablo Montoya,McLaren,1:15.902,1:17.570,
8,1,Michael Schumacher,Ferrari,1:15.398,1:18.153,
9,14,David Coulthard,Red Bull,1:15.795,1:18.373,
10,12,Felipe Massa,Sauber,1:15.863,1:18.361,
11,15,Vitantonio Liuzzi,Red Bull,1:16.288,1:19.014,
12,11,Jacques Villeneuve,Sauber,1:16.794,1:19.686,
13,19,Narain Karthikeyan,Jordan,1:18.557,1:20.711,
14,18,Tiago Monteiro,Jordan,1:19.040,1:20.903,
15,21,Christijan Albers,Minardi,1:19.563,1:21.578,
16,20,Patrick Friesacher,Minardi,1:20.306,1:22.453,
17,8,Nick Heidfeld,Williams,1:15.038,,
18,2,Rubens Barrichello,Ferrari,1:15.746,,
