round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1979-01-21,,Autódromo Juan y Oscar Gálvez,Argentina
2,Brazilian Grand Prix,1979-02-04,,Autódromo José Carlos Pace,Brazil
3,South African Grand Prix,1979-03-03,,Kyalami,South Africa
4,United States Grand Prix West,1979-04-08,,Long Beach,USA
5,Spanish Grand Prix,1979-04-29,,Jarama,Spain
6,Belgian Grand Prix,1979-05-13,,Zolder,Belgium
7,Monaco Grand Prix,1979-05-27,,Circuit de Monaco,Monaco
8,French Grand Prix,1979-07-01,,Dijon-Prenois,France
9,British Grand Prix,1979-07-14,,Silverstone Circuit,UK
10,German Grand Prix,1979-07-29,,Hockenheimring,Germany
11,Austrian Grand Prix,1979-08-12,,Red Bull Ring,Austria
12,Dutch Grand Prix,1979-08-26,,Circuit Park Zandvoort,Netherlands
13,Italian Grand Prix,1979-09-09,,Autodromo Nazionale di Monza,Italy
14,Canadian Grand Prix,1979-09-30,,Circuit Gilles Villeneuve,Canada
15,United States Grand Prix,1979-10-07,,Watkins Glen,USA
