Position,Driver,Constructor,Points,Wins
1,Bruce McLaren,Cooper-Climax,10,0
2,Jim Clark,Lotus-Climax,9,1
3,Graham Hill,BRM,9,1
4,Richie Ginther,BRM,9,0
5,Dan Gurney,Brabham,4,0
6,John Surtees,Ferrari,3,0
7,Jo Bonnier,Cooper-Climax,2,0
8,Tony Maggs,Cooper-Climax,2,0
9,Trevor Taylor,Lotus-Climax,1,0
10,Carel Godin de Beaufort,Porsche,1,0
11,Tony Settember,Scirocco,0,0
12,Jack Brabham,Lotus-Climax,0,0
13,Innes Ireland,Lotus-BRM,0,0
14,Willy Mairesse,Ferrari,0,0
15,Lucien Bianchi,Lola,0,0
16,Jim Hall,Lotus-BRM,0,0
17,Maurice Trintignant,Lola,0,0
18,Jo Siffert,Lotus-BRM,0,0
19,Phil Hill,ATS,0,0
20,Chris Amon,Lola,0,0
21,Bernard Collomb,Lotus-Climax,0,0
22,Giancarlo Baghetti,ATS,0,0
23,John Campbell-Jones,Lotus-BRM,0,0
24,Ian Burgess,Scirocco,0,0
25,Peter Arundell,Lotus-Climax,0,0
26,Ludovico Scarfiotti,Ferrari,0,0
27,Lorenzo Bandini,BRM,0,0
28,Nasif Estéfano,De Tomaso,0,0
